,Model,Brand,Fuel_type,Running_in_kms,Engine_disp,Gear_transmission,Milage_in_km/ltr,Seating_cap,color,Max_power,front_brake_type,rear_brake_type,height,width,length,Weight,top_speed,Car_Price,Location,Car_age
0,Wagon R,Maruti,Petrol,131125,998,Manual,21.79,5,Grey,67.05,Disc,Drum,1675,1620,3655,1340,,294000,Ahmedabad,7
1,Grand i10,Hyundai,Petrol,73875,1197,Manual,18.9,5,White,82,Disc,Drum,1520,1660,3765,,165,480000,Ahmedabad,6
2,Vento,Volkswagen,Diesel,97922,1498,Manual,22.27,5,White,108.6,Ventilated Disc,Drum,1467,1699,4390,1750,180,711000,Ahmedabad,3
3,S-Presso,Maruti,Petrol,24230,998,Manual,21.7,5,Red,67.05,Ventilated Disc,Drum,1564,1520,3565,1170,,422000,Ahmedabad,2
4,Wagon R,Maruti,Petrol,41174,998,Automatic,20.51,5,Grey,67,Ventilated Disc,Drum,1700,1495,3599,1350,152,430000,Ahmedabad,4
5,Eeco,Maruti,Petrol,57341,1196,Manual,16.11,5,White,72.42,Disc,Drum,1825,1475,3675,1510,,279000,Ahmedabad,9
6,City,Honda,Petrol,38647,1497,Manual,17,5,Other,118,Disc,Drum,1480,1695,4420,,,399000,Ahmedabad,10
7,Eeco,Maruti,Petrol,17116,1196,Manual,16.11,5,White,72.42,Disc,Drum,1825,1475,3675,1510,,472000,Ahmedabad,1
8,Eeco,Maruti,Petrol,45347,1196,Manual,15.37,5,White,73,Ventilated Disc,Drum,1800,1475,3675,1510,145,381000,Ahmedabad,5
9,Swift,Maruti,Petrol,45203,1197,Manual,20.4,5,White,81.8,Ventilated Disc,Drum,1530,1735,3840,1315,165,464000,Ahmedabad,5
10,Wagon R,Maruti,Petrol,85416,998,Manual,20.51,5,Other,67.04,Ventilated Disc,Drum,1700,1495,3599,1350,152,280000,Ahmedabad,8
11,Swift Dzire,Maruti,Diesel,80084,1248,Manual,23.4,5,Grey,74,Ventilated Disc,Drum,1555,1695,3995,1505,,340000,Ahmedabad,9
12,Eeco,Maruti,Petrol,88362,1196,Manual,16.11,5,Silver,72.42,Disc,Drum,1825,1475,3675,1510,,397000,Ahmedabad,4
13,Wagon R,Maruti,Petrol,42381,998,Manual,21.79,5,White,67.05,Disc,Drum,1675,1620,3655,1340,,329000,Ahmedabad,7
14,Swift,Maruti,Diesel,72558,1248,Manual,25.2,5,White,74,Ventilated Disc,Drum,1530,1735,3840,1405,155,382000,Ahmedabad,7
15,Swift,Maruti,Diesel,100821,1248,Manual,25.2,5,White,74,Ventilated Disc,Drum,1530,1735,3840,1405,155,304000,Ahmedabad,7
16,SX4 S Cross,Maruti,Diesel,86698,1248,Manual,25.1,5,Silver,88.5,Disc,Disc,1595,1785,4300,1670,164,660000,Ahmedabad,4
17,Innova,Toyota,Diesel,147234,2494,Manual,12.99,8,Silver,100,Ventilated Disc,Leading-Trailing Drum,1760,1760,4585,2300,,567000,Ahmedabad,9
18,City,Honda,Diesel,70012,1498,Manual,26,5,White,98.6,Disc,Drum,1495,1695,4440,,175,742000,Ahmedabad,4
19,i20,Hyundai,Diesel,70279,1396,Manual,22.54,5,White,88.73,Disc,Drum,1505,1734,3985,,180,314000,Ahmedabad,7
20,Wagon R,Maruti,Petrol,60722,998,Manual,20.51,5,White,67.04,Ventilated Disc,Drum,1700,1495,3599,1350,152,267000,Ahmedabad,10
21,Eeco,Maruti,Petrol,14161,1196,Manual,15.37,5,White,73,Ventilated Disc,Drum,1800,1475,3675,1510,145,457000,Ahmedabad,2
22,Swift Dzire,Maruti,Petrol,9379,1197,Manual,21.21,5,White,81.8,Disc,Drum,1515,1735,3995,1315,,684000,Ahmedabad,2
23,Swift,Maruti,Diesel,31824,1248,Manual,28.4,5,Red,74,Disc,Drum,1530,1735,3840,1405,,585000,Ahmedabad,3
24,Swift,Maruti,Diesel,72301,1248,Manual,22.9,5,White,74,Ventilated Disc,Drum,1530,1695,3850,1505,,399000,Ahmedabad,8
25,Swift Dzire,Maruti,Petrol,11935,1197,Manual,21.21,5,Grey,81.8,Disc,Drum,1515,1735,3995,1315,,695000,Ahmedabad,2
26,Wagon R,Maruti,Petrol,43242,998,Manual,20.51,5,White,67.04,Ventilated Disc,Drum,1670,1475,3636,1350,152,387000,Ahmedabad,4
27,Terrano,Nissan,Diesel,74555,1461,Manual,20.45,5,Black,83.8,Disc,Drum,1671,2000,4331,1764,156,470000,Ahmedabad,5
28,Wagon R,Maruti,Petrol,10371,998,Manual,21.79,5,White,67.05,Disc,Drum,1675,1620,3655,1340,,507000,Ahmedabad,1
29,Innova,Toyota,Diesel,94754,2494,Manual,12.99,8,Silver,100,Ventilated Disc,Leading-Trailing Drum,1760,1760,4585,2300,,670000,Ahmedabad,8
30,Amaze,Honda,Petrol,59642,1198,Manual,17.8,5,Silver,86.7,Disc,Drum,1505,1680,3990,,140,553000,Ahmedabad,4
31,Baleno,Maruti,Petrol,49072,1197,Manual,21.01,5,Blue,81.8,Disc,Drum,1510,1745,3995,1340,,610000,Ahmedabad,4
32,Swift Dzire,Maruti,Diesel,54419,1248,Manual,26.59,5,White,74,Ventilated Disc,Drum,1555,1695,3995,1505,169,491000,Ahmedabad,6
33,Alto K10,Maruti,Petrol,89579,998,Manual,20.92,5,White,67.1,Ventilated Disc,Drum,1460,1475,3620,1185,,177000,Ahmedabad,9
34,Wagon R,Maruti,Petrol,81674,998,Manual,21.79,5,White,67.05,Disc,Drum,1675,1620,3655,1340,,360000,Ahmedabad,5
35,Swift Dzire,Maruti,Petrol,9718,1197,Manual,21.21,5,White,81.8,Disc,Drum,1515,1735,3995,1315,,665000,Ahmedabad,2
36,Baleno,Maruti,Petrol,34669,1197,Manual,21.01,5,Grey,81.8,Disc,Drum,1510,1745,3995,1340,,536000,Ahmedabad,4
37,Baleno,Maruti,Petrol,51205,1197,Manual,21.4,5,Blue,83.1,Disc,Drum,1510,1745,3995,1340,180,482000,Ahmedabad,5
38,Eeco,Maruti,Petrol,19627,1196,Manual,16.11,5,White,72.42,Disc,Drum,1825,1475,3675,1510,,470000,Ahmedabad,1
39,Verna,Hyundai,Diesel,65484,1582,Manual,22.32,5,White,126.3,Disc,Disc,1475,1700,4370,,190,543000,Ahmedabad,7
40,Ecosport,Ford,Diesel,42029,1498,Manual,22.77,5,Grey,98.59,Ventilated Disc,Drum,1708,1765,3999,,182,589000,Ahmedabad,5
41,City,Honda,Petrol,89144,1497,Manual,17.4,5,Other,117.6,Ventilated Disc,Drum,1495,1695,4440,1436,189,764000,Ahmedabad,3
42,Brio,Honda,Petrol,44000,1198,Manual,19.4,5,Grey,86.8,Disc,Drum,1500,1680,3610,,164,351000,Ahmedabad,8
43,Ertiga,Maruti,Diesel,33000,1248,Manual,24.52,7,White,88.5,Ventilated Disc,Drum,1685,1695,4296,,160,711000,Ahmedabad,6
44,Figo,Ford,Diesel,60000,1399,Manual,20,5,Grey,68.05,Ventilated Disc,Drum,1427,1680,3795,,,300000,Ahmedabad,6
45,Amaze,Honda,Petrol,69000,1199,Automatic,19,5,White,88.76,Disc,Drum,1501,1695,3995,,160,651000,Ahmedabad,4
46,Alto,Maruti,Petrol,28000,796,Manual,19.7,5,Beige,46.3,Disc,Drum,1460,1475,3495,1140,137,205000,Ahmedabad,11
47,Etios,Toyota,Diesel,52000,1364,Manual,23.59,5,White,67.05,Ventilated Disc,Drum,1510,1695,4369,,170,651000,Ahmedabad,3
48,i20,Hyundai,Diesel,69000,1396,Manual,22.54,5,Red,88.73,Disc,Drum,1505,1734,3985,,180,650000,Ahmedabad,4
49,i10,Hyundai,Petrol,68425,1197,Manual,20.36,5,Grey,78.9,Ventilated Disc,Drum,1550,1595,3585,,,295000,Ahmedabad,9
50,Ertiga,Maruti,Diesel,68000,1248,Manual,24.52,7,White,88.5,Ventilated Disc,Drum,1685,1695,4296,,160,691000,Ahmedabad,5
51,Verna,Hyundai,Diesel,83000,1582,Manual,22.32,5,White,126.3,Disc,Disc,1475,1700,4370,,190,540000,Ahmedabad,8
52,XUV500,Mahindra,Diesel,76000,2179,Manual,15.1,7,White,140,Disc & Caliper Type,Disc & Caliper Type,1785,1890,4585,2450,175,525000,Ahmedabad,9
53,XUV500,Mahindra,Diesel,77000,1997,Manual,16,7,Purple,140,Disc,Disc,1785,1890,4585,2510,185,890000,Ahmedabad,6
54,Creta,Hyundai,Petrol,44000,1591,Automatic,13,5,White,121.3,Disc,Drum,1630,1780,4270,,,1075000,Ahmedabad,4
55,Elantra,Hyundai,Diesel,62000,1582,Manual,22.7,5,White,126.2,Disc,Disc,1470,1775,4530,1640,191,585000,Ahmedabad,8
56,Baleno,Maruti,Petrol,28000,1197,Manual,21.01,5,Blue,81.8,Disc,Drum,1510,1745,3995,1340,,700000,Ahmedabad,3
57,Swift,Maruti,Diesel,65000,1248,Manual,25.2,5,White,74,Ventilated Disc,Drum,1530,1735,3840,1405,155,490000,Ahmedabad,7
58,Cruze,Chevrolet,Diesel,56000,1991,Manual,18.3,5,Silver,147.9,Disc,Disc,1477,1788,4597,,,350000,Ahmedabad,10
59,Vento,Volkswagen,Diesel,58248,1598,Manual,20.54,5,Silver,103.6,Disc,Drum,1466,1699,4384,1760,186,425000,Ahmedabad,8
60,E-Class,Mercedes-Benz,Diesel,19000,1950,Automatic,16.1,5,Blue,191.7,Ventilated Disc,Disc,1494,1860,5063,,240,5300000,Ahmedabad,2
61,Xcent,Hyundai,Diesel,73000,1186,Manual,25.4,5,White,73.97,Disc,Drum,1520,1660,3995,,156,424000,Ahmedabad,3
62,Jazz,Honda,Petrol,35000,1198,Manual,16,5,White,90,Disc,Drum,1535,1695,3900,,165,390000,Ahmedabad,9
63,Creta,Hyundai,Diesel,79000,1582,Automatic,17.01,5,Silver,126.2,Disc,Drum,1630,1780,4270,,190,900000,Ahmedabad,5
64,i20,Hyundai,Diesel,55000,1396,Manual,22.54,5,White,88.73,Disc,Drum,1505,1734,3985,,180,575000,Ahmedabad,5
